,user,item,time,rate
0,1888,1255,68,1
1,1534,12198,68,1
2,1888,1250,68,1
3,1888,1233,68,1
4,211,9035,68,1
5,922,896,68,1
6,211,7587,68,1
7,1249,2048,68,1
8,1249,6102,68,1
9,1770,9374,68,1
10,1249,6754,68,1
11,922,846,68,1
12,922,851,68,1
13,1770,10127,68,1
14,1430,262,68,1
15,210,4587,68,1
16,1430,432,68,1
17,1770,10371,68,1
18,1044,9169,68,1
19,1249,2066,68,1
20,210,612,68,1
21,210,219,68,1
22,1770,10304,68,1
23,1435,10059,68,1
24,637,136,68,1
25,1448,250,68,1
26,202,130,68,1
27,1775,1106,68,1
28,510,3586,68,1
29,1775,5633,68,1
30,1451,707,68,1
31,1888,635,68,1
32,1888,760,68,1
33,1256,161,68,1
34,1454,1654,68,1
35,1534,11072,68,1
36,1121,12197,68,1
37,199,461,68,1
38,510,3348,68,1
39,510,3300,68,1
40,1454,1269,68,1
41,1888,993,68,1
42,1448,4478,68,1
43,1138,9671,68,1
44,922,973,68,1
45,1448,716,68,1
46,1061,9290,68,1
47,1063,61,68,1
48,1448,1233,68,1
49,1448,1250,68,1
50,1888,764,68,1
51,213,347,68,1
52,203,3662,68,1
53,922,1127,68,1
54,213,1874,68,1
55,202,2188,68,1
56,202,1859,68,1
57,213,3777,68,1
58,1063,361,68,1
59,86,320,68,1
60,1818,258,68,1
61,225,581,68,1
62,86,1341,68,1
63,1274,8679,68,1
64,14,2210,68,1
65,1274,8678,68,1
66,1851,251,68,1
67,1851,254,68,1
68,1851,302,68,1
69,1068,1432,68,1
70,174,1056,68,1
71,1851,478,68,1
72,1851,619,68,1
73,174,1002,68,1
74,1249,490,68,1
75,1851,12349,68,1
76,1852,221,68,1
77,174,861,68,1
78,174,456,68,1
79,930,9621,68,1
80,930,2112,68,1
81,342,7811,68,1
82,930,1276,68,1
83,174,397,68,1
84,1068,410,68,1
85,1852,484,68,1
86,174,371,68,1
87,1710,1868,68,1
88,86,3795,68,1
89,342,8956,68,1
90,423,12517,68,1
91,86,1836,68,1
92,1534,757,68,1
93,174,7391,68,1
94,1249,451,68,1
95,572,1215,68,1
96,174,3294,68,1
97,180,3342,68,1
98,1068,425,68,1
99,428,168,68,1
100,17,8282,68,1
101,1249,454,68,1
102,428,14,68,1
103,572,4520,68,1
104,572,5033,68,1
105,572,10158,68,1
106,174,3293,68,1
107,174,3290,68,1
108,572,10922,68,1
109,1249,460,68,1
110,1274,11195,68,1
111,28,977,68,1
112,1274,8682,68,1
113,86,1599,68,1
114,174,2788,68,1
115,581,127,68,1
116,14,4325,68,1
117,1274,11286,68,1
118,1185,1296,68,1
119,1534,1254,68,1
120,342,3795,68,1
121,1479,191,68,1
122,1852,2048,68,1
123,1179,11004,68,1
124,1465,10081,68,1
125,1249,725,68,1
126,922,10694,68,1
127,1179,7160,68,1
128,14,571,68,1
129,1373,945,68,1
130,1373,436,68,1
131,86,4934,68,1
132,86,5173,68,1
133,1465,8800,68,1
134,86,973,68,1
135,922,10047,68,1
136,1002,1673,68,1
137,898,440,68,1
138,1479,359,68,1
139,342,2893,68,1
140,1373,250,68,1
141,1465,7789,68,1
142,893,9593,68,1
143,510,623,68,1
144,1373,179,68,1
145,1465,10320,68,1
146,174,174,68,1
147,1534,1556,68,1
148,342,3942,68,1
149,86,1286,68,1
150,1534,1280,68,1
151,86,3971,68,1
152,922,12469,68,1
153,1274,7667,68,1
154,174,67,68,1
155,510,850,68,1
156,417,5609,68,1
157,417,5597,68,1
158,922,12335,68,1
159,510,802,68,1
160,1534,1291,68,1
161,86,4339,68,1
162,1478,9593,68,1
163,1068,1476,68,1
164,1534,1470,68,1
165,1479,147,68,1
166,510,746,68,1
167,1274,7189,68,1
168,86,1125,68,1
169,1465,12446,68,1
170,1068,307,68,1
171,1534,1547,68,1
172,922,11003,68,1
173,1465,10856,68,1
174,1465,10854,68,1
175,1534,670,68,1
176,572,843,68,1
177,174,9805,68,1
178,909,11477,68,1
179,225,250,68,1
180,1378,4824,68,1
181,1380,2210,68,1
182,1068,708,68,1
183,910,5262,68,1
184,1390,53,68,1
185,1390,357,68,1
186,1068,663,68,1
187,225,160,68,1
188,1474,10904,68,1
189,1249,369,68,1
190,658,7179,68,1
191,658,2927,68,1
192,658,2888,68,1
193,1395,294,68,1
194,1068,617,68,1
195,658,2555,68,1
196,658,2399,68,1
197,658,2073,68,1
198,1395,440,68,1
199,449,72,68,1
200,658,2070,68,1
201,1472,10880,68,1
202,658,1034,68,1
203,909,11915,68,1
204,658,753,68,1
205,910,94,68,1
206,910,224,68,1
207,510,1465,68,1
208,910,1125,68,1
209,1068,820,68,1
210,1831,861,68,1
211,28,959,68,1
212,1068,817,68,1
213,510,1766,68,1
214,1831,665,68,1
215,28,957,68,1
216,225,268,68,1
217,910,1009,68,1
218,225,418,68,1
219,28,925,68,1
220,910,1268,68,1
221,910,998,68,1
222,910,897,68,1
223,910,385,68,1
224,910,2158,68,1
225,910,2743,68,1
226,910,310,68,1
227,1378,413,68,1
228,910,3278,68,1
229,910,254,68,1
230,1068,804,68,1
231,910,250,68,1
232,910,208,68,1
233,661,523,68,1
234,909,8577,68,1
235,658,750,68,1
236,86,3050,68,1
237,1249,424,68,1
238,1534,185,68,1
239,1848,12340,68,1
240,565,5101,68,1
241,909,2997,68,1
242,565,5409,68,1
243,86,2125,68,1
244,565,6631,68,1
245,565,6632,68,1
246,86,3190,68,1
247,910,9296,68,1
248,655,250,68,1
249,910,10330,68,1
250,565,6813,68,1
251,180,3337,68,1
252,909,682,68,1
253,909,666,68,1
254,565,8681,68,1
255,1274,12344,68,1
256,428,9188,68,1
257,86,1988,68,1
258,936,1561,68,1
259,1249,448,68,1
260,571,6680,68,1
261,909,3226,68,1
262,86,2133,68,1
263,909,3438,68,1
264,86,2136,68,1
265,658,748,68,1
266,658,722,68,1
267,658,627,68,1
268,86,2817,68,1
269,661,626,68,1
270,658,454,68,1
271,225,86,68,1
272,1791,12112,68,1
273,658,203,68,1
274,833,1465,68,1
275,658,168,68,1
276,658,14,68,1
277,893,8485,68,1
278,658,6,68,1
279,909,8563,68,1
280,909,8103,68,1
281,910,8590,68,1
282,225,607,68,1
283,658,5,68,1
284,909,7897,68,1
285,565,2813,68,1
286,910,8675,68,1
287,938,4346,68,1
288,1534,544,68,1
289,833,461,68,1
290,1847,4714,68,1
291,1249,337,68,1
292,1179,973,68,1
293,1478,4951,68,1
294,410,5516,68,1
295,1401,134,68,1
296,1274,3945,68,1
297,667,2408,68,1
298,1401,250,68,1
299,1401,251,68,1
300,508,9226,68,1
301,508,6109,68,1
302,1401,253,68,1
303,1401,262,68,1
304,1401,407,68,1
305,508,6058,68,1
306,508,5817,68,1
307,1401,420,68,1
308,1249,172,68,1
309,1249,169,68,1
310,508,5724,68,1
311,922,8678,68,1
312,1006,1260,68,1
313,508,5719,68,1
314,86,885,68,1
315,1852,11928,68,1
316,508,10311,68,1
317,508,11470,68,1
318,86,6822,68,1
319,1530,11091,68,1
320,1465,2203,68,1
321,1465,1993,68,1
322,222,7860,68,1
323,1852,6781,68,1
324,1068,276,68,1
325,893,610,68,1
326,893,564,68,1
327,222,6467,68,1
328,342,562,68,1
329,893,136,68,1
330,1465,1559,68,1
331,1176,86,68,1
332,565,2229,68,1
333,1479,2950,68,1
334,1207,8035,68,1
335,342,506,68,1
336,182,3370,68,1
337,581,672,68,1
338,1534,1671,68,1
339,922,8677,68,1
340,1401,434,68,1
341,1401,488,68,1
342,1357,10521,68,1
343,922,7188,68,1
344,222,5968,68,1
345,581,1255,68,1
346,644,7941,68,1
347,885,4465,68,1
348,1357,2238,68,1
349,581,1260,68,1
350,270,4340,68,1
351,1006,4960,68,1
352,1006,5311,68,1
353,222,5693,68,1
354,581,1338,68,1
355,1006,5319,68,1
356,225,436,68,1
357,222,5535,68,1
358,225,448,68,1
359,270,4341,68,1
360,272,1279,68,1
361,222,5336,68,1
362,86,11831,68,1
363,1465,3412,68,1
364,270,3193,68,1
365,222,6194,68,1
366,342,394,68,1
367,922,8406,68,1
368,1274,3532,68,1
369,342,182,68,1
370,266,1163,68,1
371,1249,997,68,1
372,508,5005,68,1
373,1401,577,68,1
374,1401,939,68,1
375,270,1652,68,1
376,1068,2092,68,1
377,1401,3045,68,1
378,581,802,68,1
379,922,7663,68,1
380,922,7656,68,1
381,1479,5553,68,1
382,1479,6813,68,1
383,1274,3421,68,1
384,270,48,68,1
385,222,6376,68,1
386,1401,1937,68,1
387,1465,5002,68,1
388,28,964,68,1
389,893,1595,68,1
