,Unnamed: 0,user,item,rate,time,real-time
0,460224,653,5,1,249881,2000-12
1,460225,653,2260,1,249881,2000-12
2,460226,653,2051,1,249882,2000-12
3,460227,653,150,1,249882,2000-12
4,460228,653,1399,1,249882,2000-12
5,460229,653,357,1,249883,2000-12
6,460230,653,1387,1,249884,2000-12
7,460231,653,2435,1,249885,2000-12
8,460232,653,1782,1,249886,2000-12
9,460233,653,270,1,249887,2000-12
10,460234,653,1367,1,249887,2000-12
11,460235,653,1248,1,249888,2000-12
12,460236,653,2296,1,249888,2000-12
13,460237,653,1408,1,249889,2000-12
14,460238,653,1295,1,249889,2000-12
15,460239,653,1278,1,249890,2000-12
16,460240,653,1351,1,249890,2000-12
17,460241,653,2666,1,249891,2000-12
18,460242,653,1294,1,249892,2000-12
19,460243,653,2285,1,249892,2000-12
20,460244,653,668,1,249892,2000-12
21,460245,653,2549,1,249893,2000-12
22,460246,653,1042,1,249894,2000-12
23,460247,653,1055,1,249895,2000-12
24,460248,653,2760,1,249895,2000-12
25,460249,653,1726,1,249895,2000-12
26,460250,653,1065,1,249896,2000-12
27,460251,653,3355,1,249896,2000-12
28,460252,653,973,1,249897,2000-12
29,460253,653,2104,1,249897,2000-12
30,460254,653,1917,1,249897,2000-12
31,460255,653,1206,1,249898,2000-12
32,460256,653,1224,1,249899,2000-12
33,460257,653,2476,1,249899,2000-12
34,460258,653,952,1,249899,2000-12
35,460259,653,2584,1,249900,2000-12
36,460260,653,1695,1,249901,2000-12
37,460261,653,2469,1,249901,2000-12
38,460262,653,3137,1,249902,2000-12
39,460263,653,3162,1,249902,2000-12
40,460264,653,1898,1,249902,2000-12
41,460265,653,2050,1,249902,2000-12
42,460266,653,2697,1,249903,2000-12
43,460267,653,3066,1,249904,2000-12
44,460268,653,1070,1,249905,2000-12
45,460269,653,1136,1,249906,2000-12
46,460270,653,1142,1,249906,2000-12
47,460271,653,1687,1,249907,2000-12
48,460272,653,2754,1,249908,2000-12
49,460273,782,2433,1,249909,2000-12
50,460274,782,0,1,249909,2000-12
51,460275,782,2770,1,249909,2000-12
52,460276,782,2374,1,249909,2000-12
53,460277,782,2053,1,249910,2000-12
54,460278,782,344,1,249910,2000-12
55,460279,653,1145,1,249911,2000-12
